time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.91915370935e-07,5.75867113481e-07,10.0030367914,0.00047564790045,0.000609854413277,0.0,-6.29669018183e-05,4.70212737035e-05,0.101222027009,0.0203364010243,0.0252006998347,0.0,436.29332049158825,438.39186065511046,436.38355125049327,438.0774400167242
0.12000000000000001,-2.21552203102e-05,1.67953422653e-05,10.0106344099,0.00159102047827,0.00258485225537,0.0,-0.00081740913406,0.000604480041913,0.152025739295,0.0148447911676,0.0450594833486,0.0,420.08293064573894,421.80158919779603,421.33167593163455,420.8566763566014
0.18,-0.000142061313993,9.31506503712e-05,10.0249395696,0.00245412986574,0.00560708996167,0.0,-0.0035041641681,0.00203955631216,0.324777633049,0.0134496995128,0.0592997278731,0.0,458.8813074631079,460.01161769946646,459.5012126118913,459.3905071036643
0.23999999999999996,-0.000497879781847,0.000276172510054,10.0500161649,0.00338044319785,0.00893322816181,0.0,-0.00875275624988,0.00416078128841,0.511040572487,0.0191457358732,0.0463033231637,0.0,463.87566792719616,462.8560498776929,463.6239411472288,464.07107940354445
0.3,-0.00122551559866,0.000602520563474,10.0843935907,0.00431265496143,0.0121510260135,0.0,-0.0158207404365,0.00682832604222,0.634808834253,0.00711287782981,0.0652781191675,0.0,443.7780237712227,445.334410912555,445.29998062701486,444.31462833794996
0.36000000000000004,-0.00248986336512,0.00111967325634,10.1292996023,0.00438144440596,0.0159763441225,0.0,-0.0267902869611,0.0104442009418,0.861907956294,-0.0147821675026,0.0605227116127,0.0,475.8809453362994,475.51952120856424,477.1178355398404,475.4435092671983
0.4200000000000001,-0.00446503565389,0.00183956842467,10.1854323533,0.00303630125522,0.0191397748179,0.0,-0.0394263171596,0.0134387735292,1.00905880126,-0.045609542332,0.0286883462153,0.0,454.17406326452823,451.6155202452848,453.1792326899169,450.69465556410773
0.48000000000000015,-0.0072503143429,0.0027004296505,10.2498879785,0.000265233773783,0.0206237825547,0.0,-0.0535862723097,0.0149630591775,1.13933789037,-0.0473594349824,0.0153399639255,0.0,448.2868255087826,447.201068517281,447.2955749252842,447.15181592022446
0.5400000000000001,-0.0111048720891,0.00359041101182,10.3312780873,6.28075494655,0.0221332647571,0.0,-0.0750803421138,0.014284539622,1.57316888328,-0.0404590109895,0.0398047757822,0.0,533.9410867393935,535.6073337794137,532.4586285133461,532.9296311297305
0.6000000000000002,-0.0160919636744,0.00438588669839,10.4293626807,6.27812811071,0.0246070445442,0.0,-0.091408610549,0.0119665366957,1.69613568271,-0.0514233849139,0.0439364277411,0.0,446.83888689361635,447.17643598468504,446.6662223251753,445.77012199049904
0.6600000000000003,-0.0220888818932,0.00499082913695,10.5338843333,6.27622933552,0.0269085776388,0.0,-0.108737521703,0.00796384200887,1.78777176172,-0.00789107492466,0.0238422077306,0.0,438.3320833862903,436.6598286017046,434.9810850485377,438.6104031150087
0.7200000000000003,-0.0292490647393,0.00530386422938,10.6468768946,6.27566118438,0.0284986396126,0.0,-0.130101929291,0.00241305573039,1.97833053644,-0.0128286029568,0.0313484574767,0.0,467.9417919199832,468.5258174415725,467.7251540692766,467.3406117676014
0.7800000000000004,-0.0375764807325,0.00531074269059,10.7659710445,6.27537278063,0.0305589982453,0.0,-0.147654506242,-0.00222755244642,1.9914449441,0.00771908774393,0.0397338496291,0.0,412.351510346025,413.092152744955,411.28973901243427,413.10555607772505
0.8400000000000004,-0.0471121899858,0.00500850017316,10.8896047962,6.2756050071,0.0328060044917,0.0,-0.170444895063,-0.00780627283677,2.12942391739,-0.00522326407042,0.0324405006795,0.0,452.22846584209844,451.64127434877776,454.02097541747315,452.9814061164348
0.9000000000000005,-0.0580913411114,0.00436764174406,11.0223306494,6.27554730085,0.0357140528674,0.0,-0.195800268175,-0.0135726081849,2.29444266214,0.00643012563872,0.0692331483084,0.0,459.90441905249156,462.81043311205457,461.1830944079115,462.102603858624
0.9600000000000005,-0.0705958005203,0.00339648714816,11.1630511604,6.27580246546,0.0396243069079,0.0,-0.221421697944,-0.0187643269482,2.39601531978,-0.000502826810357,0.0554729986927,0.0,443.0874282477092,441.95788929863363,443.07101016780814,442.50060117380843
1.0200000000000005,-0.0848299603161,0.00209655838573,11.3127044911,6.27544812903,0.0429206654987,0.0,-0.25341872502,-0.0245820705504,2.59198574038,-0.0198218103058,0.0538504178689,0.0,472.1310799525983,472.0077098399215,472.4861514958592,470.9945182221881
1.0800000000000005,-0.100670218671,0.000505760559541,11.4651304685,6.27431179105,0.0461593743996,0.0,-0.274833708097,-0.0285299245576,2.48909667687,-0.0172294311686,0.0542332858506,0.0,374.8843017744351,374.9240267366857,373.795705303682,374.0482274216702
1.1400000000000006,-0.118126233991,-0.00139305550447,11.6174389785,6.27304057215,0.0492285154762,0.0,-0.307346935913,-0.0348775511146,2.5876143404,-0.0305883606489,0.0441447585538,0.0,442.68235122168295,441.8531107684348,443.6514282801619,442.55320990573597
1.2000000000000006,-0.137598554275,-0.00370266818317,11.7757327952,6.27123646612,0.0521611924351,0.0,-0.342006605735,-0.0422927087309,2.68859179448,-0.0290485197315,0.0569705846937,0.0,444.23022582863246,445.28213009578485,443.12556404165974,443.25183410186327
1.2600000000000007,-0.159294371019,-0.00651282169297,11.941601765,6.26948150564,0.0554071253554,0.0,-0.381535407719,-0.0515659123061,2.83998035792,-0.0296539726285,0.0476309723241,0.0,459.9559740725015,459.21755023491187,460.60144002787547,460.55333459969324
1.3200000000000007,-0.183312759763,-0.00988849706549,12.1144182765,6.2677387456,0.0580561870481,0.0,-0.419342041667,-0.0611278936789,2.92034210825,-0.027857161167,0.0360819351676,0.0,439.1936975690868,438.23588588482465,438.9122448162694,439.0610855849209
